Plasmid,ERR434263,ERR434267,ERR434268,ERR434279,ERR434292,ERR434300,ERR434328,ERR434343,ERR434351,ERR434353,ERR434355,ERR434358,ERR434393,ERR434453,ERR434459,ERR434491,ERR434496,ERR434535,ERR434541,ERR434552,ERR434596,ERR434651,ERR434663,ERR434665,ERR434668,ERR434675,ERR434698,ERR434783,ERR434801,ERR434841,ERR434886,ERR434892,ERR434930,ERR434955,ERR434962,ERR434970,ERR434981,ERR435021,ERR435074,ERR435080,ERR435175,ERR435205,ERR435243,ERR435251,ERR435254,ERR435338,ERR435362,ERR435364,ERR435443,ERR435482,ERR435498,ERR435534,ERR435536,ERR435553,ERR439541,ERR439545,ERR439547,ERR439577,ERR439582,ERR439583,ERR439587,ERR439593,ERR439599,ERR439617,ERR439620,ERR439680,ERR439694,ERR439700,ERR439705,,,,
FIA,0,0,0,0,0,0,0,FIA,0,0,0,0,0,0,0,FIA,FIA,FIA,0,0,0,0,0,0,0,FIA,0,0,0,0,0,0,FIA,0,0,0,0,0,0,0,0,FIA,0,0,0,0,0,0,0,0,0,0,FIA,FIA,0,FIA,0,0,0,0,FIA,0,0,0,0,0,0,0,0,,,,
FIB,FIB,0,0,0,FIB,FIB,0,FIB,0,0,FIB,FIB,0,0,FIB,FIB,FIB,FIB,FIB,FIB,0,0,FIB,0,FIB,FIB,0,FIB,0,0,FIB,0,FIB,0,FIB,0,0,0,FIB,FIB,FIB,FIB,0,0,0,0,0,FIB,FIB,0,FIB,FIB,FIB,FIB,0,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,,,,
FIC,FIC,0,0,0,FIC,0,0,0,0,FIC,FIC,0,0,0,FIC,0,FIC,FIC,0,0,0,0,0,0,0,FIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FIC,0,0,0,0,FIC,0,0,FIC,0,0,FIC,FIC,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,