Plasmid,ERR434290,ERR434318,ERR434323,ERR434326,ERR434385,ERR434443,ERR434455,ERR434495,ERR434542,ERR434549,ERR434559,ERR434604,ERR434611,ERR434614,ERR434633,ERR434635,ERR434677,ERR434688,ERR434694,ERR434709,ERR434714,ERR434734,ERR434741,ERR434760,ERR434776,ERR434787,ERR434815,ERR434851,ERR434853,ERR434857,ERR434866,ERR434904,ERR434912,ERR434961,ERR434983,ERR435029,ERR435042,ERR435055,ERR435082,ERR435097,ERR435100,ERR435119,ERR435122,ERR435126,ERR435133,ERR435149,ERR435160,ERR435163,ERR435199,ERR435271,ERR435287,ERR435288,ERR435312,ERR435337,ERR435342,ERR435410,ERR435411,ERR435428,ERR435436,ERR435464,ERR435469,ERR435470,ERR435471,ERR435477,ERR435523,ERR435541,ERR435546,ERR435561,ERR439595,ERR439615,ERR439631,ERR439654,ERR439659,ERR439671,ERR439709,ERR439714,ERR439731,ERR485892,ERR434272,ERR434278,ERR434293,ERR434296,ERR434301,ERR434324,ERR434325,ERR434387,ERR434388,ERR434394,ERR434398,ERR434409,ERR434415,ERR434416,ERR434423,ERR434429,ERR434442,ERR434463,ERR434486,ERR434489,ERR434514,ERR434555,ERR434571,ERR434574,ERR434595,ERR434636,ERR434645,ERR434654,ERR434659,ERR434705,ERR434712,ERR434715,ERR434736,ERR434746,ERR434748,ERR434794,ERR434816,ERR434818,ERR434830,ERR434831,ERR434832,ERR434846,ERR434849,ERR434858,ERR434876,ERR434881,ERR434882,ERR434883,ERR434921,ERR434933,ERR434934,ERR434936,ERR434940,ERR434954,ERR434964,ERR434975,ERR435005,ERR435013,ERR435035,ERR435036,ERR435048,ERR435054,ERR435060,ERR435063,ERR435069,ERR435070,ERR435073,ERR435077,ERR435078,ERR435084,ERR435164,ERR435172,ERR435186,ERR435203,ERR435217,ERR435218,ERR435219,ERR435229,ERR435238,ERR435244,ERR435247,ERR435253,ERR435258,ERR435261,ERR435264,ERR435269,ERR435280,ERR435290,ERR435295,ERR435300,ERR435301,ERR435315,ERR435326,ERR435361,ERR435366,ERR435380,ERR435381,ERR435382,ERR435389,ERR435396,ERR435401,ERR435419,ERR435424,ERR435430,ERR435448,ERR435462,ERR435485,ERR435488,ERR435502,ERR435518,ERR435519,ERR435530,ERR435531,ERR435533,ERR435538,ERR435540,ERR435548,ERR435550,ERR435551,ERR435558,ERR435577,ERR439534,ERR439551,ERR439554,ERR439555,ERR439573,ERR439576,ERR439584,ERR439586,ERR439597,ERR439598,ERR439602,ERR439612,ERR439630,ERR439643,ERR439646,ERR439690,ERR439715,ERR439719,ERR485891,ERR434531,ERR434548,ERR434615,ERR434623,ERR434730,ERR435006,ERR435053,ERR435085,ERR435262,ERR435370,ERR435432,ERR435526,ERR435574,ERR439535,ERR439626,ERR439661,ERR434329,ERR434334,ERR434359,ERR434397,ERR434438,ERR434447,ERR434477,ERR434481,ERR434525,ERR434553,ERR434618,ERR434624,ERR434653,ERR434655,ERR434656,ERR434672,ERR434710,ERR434728,ERR434729,ERR434742,ERR434751,ERR434790,ERR434895,ERR434909,ERR434943,ERR435010,ERR435033,ERR435083,ERR435091,ERR435112,ERR435123,ERR435132,ERR435177,ERR435282,ERR435310,ERR435343,ERR435353,ERR435357,ERR435359,ERR435373,ERR435374,ERR435407,ERR435440,ERR435451,ERR435479,ERR435517,ERR435547,ERR435555,ERR439548,ERR439571,ERR439585,ERR439596,ERR439641,ERR439656,ERR439664,ERR439673,ERR439699,,,,
FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
FIB,0,FIB,0,FIB,FIB,0,FIB,0,FIB,FIB,FIB,0,0,FIB,FIB,FIB,0,0,FIB,FIB,FIB,0,FIB,0,0,FIB,0,0,FIB,FIB,FIB,0,0,0,FIB,FIB,0,FIB,FIB,FIB,FIB,0,0,0,FIB,0,FIB,0,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,0,0,FIB,FIB,0,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,FIB,FIB,FIB,FIB,FIB,FIB,0,FIB,FIB,0,0,0,FIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
FIC,0,0,0,0,0,0,FIC,0,0,0,0,0,0,FIC,FIC,FIC,0,0,0,FIC,0,0,0,0,0,FIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FIC,FIC,0,FIC,0,0,0,0,0,0,0,0,FIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FIC,0,0,0,0,0,0,0,0,0,0,0,0,0,FIC,FIC,0,0,0,0,0,0,0,0,0,0,0,FIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FIC,0,0,0,0,0,0,FIC,0,0,0,0,0,FIC,FIC,FIC,FIC,FIC,FIC,FIC,FIC,FIC,FIC,FIC,FIC,FIC,FIC,FIC,FIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,